,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2020-09-13,Sun,Matchweek 1,Home,L 0–1,Tottenham,Everton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
1,2020-09-20,Sun,Matchweek 2,Away,W 5–2,Tottenham,Southampton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
3,2020-10-04,Sun,Matchweek 4,Away,W 6–1,Tottenham,Manchester Utd,Y,RB,90,3,2,0,1,0,0,0,0,0,0,0,0,0,0,Match Report
4,2020-10-18,Sun,Matchweek 5,Home,D 3–3,Tottenham,West Ham,Y,RB,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
6,2020-11-08,Sun,Matchweek 8,Away,W 1–0,Tottenham,West Brom,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
7,2020-11-21,Sat,Matchweek 9,Home,W 2–0,Tottenham,Manchester City,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
8,2020-11-29,Sun,Matchweek 10,Away,D 0–0,Tottenham,Chelsea,Y,RB,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
9,2020-12-06,Sun,Matchweek 11,Home,W 2–0,Tottenham,Arsenal,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
10,2020-12-13,Sun,Matchweek 12,Away,D 1–1,Tottenham,Crystal Palace,Y,RB,90,3,2,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
11,2020-12-16,Wed,Matchweek 13,Away,L 1–2,Tottenham,Liverpool,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
12,2020-12-20,Sun,Matchweek 14,Home,L 0–2,Tottenham,Leicester City,Y,RB,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
13,2020-12-27,Sun,Matchweek 15,Away,D 1–1,Tottenham,Wolves,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
15,2021-01-13,Wed,Matchweek 16,Home,D 1–1,Tottenham,Fulham,Y,RB,90,5,5,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
16,2021-01-17,Sun,Matchweek 19,Away,W 3–1,Tottenham,Sheffield Utd,Y,RM,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
17,2021-01-28,Thu,Matchweek 20,Home,L 1–3,Tottenham,Liverpool,Y,RM,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
19,2021-02-04,Thu,Matchweek 22,Home,L 0–1,Tottenham,Chelsea,Y,RB,90,2,1,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
20,2021-02-07,Sun,Matchweek 23,Home,W 2–0,Tottenham,West Brom,Y,RB,67,4,3,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
22,2021-02-28,Sun,Matchweek 26,Home,W 4–0,Tottenham,Burnley,Y,RB,80,3,2,0,1,0,0,0,0,0,0,0,0,0,0,Match Report
24,2021-03-14,Sun,Matchweek 28,Away,L 1–2,Tottenham,Arsenal,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
26,2021-04-11,Sun,Matchweek 31,Home,L 1–3,Tottenham,Manchester Utd,Y,RB,90,2,1,0,0,1,0,0,0,0,0,0,0,0,0,Match Report
27,2021-04-16,Fri,Matchweek 32,Away,D 2–2,Tottenham,Everton,Y,WB,90,2,1,1,0,0,0,0,2,1,1,0,0,0,0,Match Report
28,2021-04-21,Wed,Matchweek 29,Home,W 2–1,Tottenham,Southampton,Y,RB,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
29,2021-05-02,Sun,Matchweek 34,Home,W 4–0,Tottenham,Sheffield Utd,Y,RB,90,7,4,0,1,0,0,2,3,2,0,1,0,0,0,Match Report
30,2021-05-08,Sat,Matchweek 35,Away,L 1–3,Tottenham,Leeds United,Y,RB,90,3,1,0,1,1,0,0,0,0,0,0,0,0,0,Match Report
32,2021-05-19,Wed,Matchweek 37,Home,L 1–2,Tottenham,Aston Villa,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
