,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2021-08-21,Sat,Matchweek 2,Home,W 2–0,Liverpool,Burnley,Y*,CM,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
1,2021-08-28,Sat,Matchweek 3,Home,D 1–1,Liverpool,Chelsea,Y*,LM,73.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
2,2021-09-12,Sun,Matchweek 4,Away,W 3–0,Liverpool,Leeds United,N,RM,28.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
3,2021-09-18,Sat,Matchweek 5,Home,W 3–0,Liverpool,Crystal Palace,Y*,RM,87.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
4,2021-09-25,Sat,Matchweek 6,Away,D 3–3,Liverpool,Brentford,Y*,"RM,CM",90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
5,2021-10-03,Sun,Matchweek 7,Home,D 2–2,Liverpool,Manchester City,Y*,RM,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
6,2021-10-16,Sat,Matchweek 8,Away,W 5–0,Liverpool,Watford,Y*,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
7,2021-10-24,Sun,Matchweek 9,Away,W 5–0,Liverpool,Manchester Utd,Y*,CM,90.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
8,2021-10-30,Sat,Matchweek 10,Home,D 2–2,Liverpool,Brighton,Y*,CM,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
9,2021-11-07,Sun,Matchweek 11,Away,L 2–3,Liverpool,West Ham,Y*,RM,90.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
10,2021-11-20,Sat,Matchweek 12,Home,W 4–0,Liverpool,Arsenal,N,RM,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
11,2021-11-27,Sat,Matchweek 13,Home,W 4–0,Liverpool,Southampton,Y*,RM,66.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
12,2021-12-01,Wed,Matchweek 14,Away,W 4–1,Liverpool,Everton,Y*,RM,82.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
13,2021-12-04,Sat,Matchweek 15,Away,W 1–0,Liverpool,Wolves,Y*,RM,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
14,2021-12-11,Sat,Matchweek 16,Home,W 1–0,Liverpool,Aston Villa,Y*,RM,90.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report
15,2021-12-16,Thu,Matchweek 17,Home,W 3–1,Liverpool,Newcastle Utd,Y*,CM,90.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
17,2021-12-28,Tue,Matchweek 20,Away,L 0–1,Liverpool,Leicester City,Y*,RM,69.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
18,2022-01-02,Sun,Matchweek 21,Away,D 2–2,Liverpool,Chelsea,Y*,RM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
19,2022-01-16,Sun,Matchweek 22,Home,W 3–0,Liverpool,Brentford,Y*,RM,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report
20,2022-01-23,Sun,Matchweek 23,Away,W 3–1,Liverpool,Crystal Palace,Y*,RM,90.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
22,2022-02-13,Sun,Matchweek 25,Away,W 1–0,Liverpool,Burnley,Y*,RM,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
