,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2021-08-14,Sat,Matchweek 1,Home,L 0–3,Norwich City,Liverpool,Y,RM,90,0,0,0,0,1,0,0,0,60,3,0,3,0.1,0.1,0.9,3,0,39,50,78.0,3,38,0,1,0,Match Report
1,2021-08-21,Sat,Matchweek 2,Away,L 0–5,Norwich City,Manchester City,Y,RM,90,0,0,0,0,0,0,0,0,46,5,1,3,0.0,0.0,0.0,0,0,26,32,81.3,4,24,0,0,0,Match Report
2,2021-08-28,Sat,Matchweek 3,Home,L 1–2,Norwich City,Leicester City,Y,RM,72,0,0,0,0,2,1,1,0,28,0,0,1,0.1,0.1,0.0,3,1,16,22,72.7,5,18,1,1,0,Match Report
3,2021-09-11,Sat,Matchweek 4,Away,L 0–1,Norwich City,Arsenal,Y,"RM,CM",90,0,0,0,0,0,0,0,0,55,3,1,1,0.0,0.0,0.0,1,0,35,45,77.8,8,33,0,2,2,Match Report
4,2021-09-18,Sat,Matchweek 5,Home,L 1–3,Norwich City,Watford,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
5,2021-09-25,Sat,Matchweek 6,Away,L 0–2,Norwich City,Everton,Y,CM,90,0,0,0,0,1,0,1,0,75,4,2,1,0.0,0.0,0.0,5,0,52,62,83.9,11,45,1,3,2,Match Report
6,2021-10-02,Sat,Matchweek 7,Away,D 0–0,Norwich City,Burnley,Y,CM,79,0,0,0,0,2,1,0,0,31,3,0,2,0.1,0.1,0.0,1,0,17,23,73.9,3,17,1,0,0,Match Report
7,2021-10-16,Sat,Matchweek 8,Home,D 0–0,Norwich City,Brighton,Y,CM,90,0,0,0,0,3,0,0,0,59,5,1,5,0.1,0.1,0.0,5,0,22,39,56.4,1,21,0,1,1,Match Report
8,2021-10-23,Sat,Matchweek 9,Away,L 0–7,Norwich City,Chelsea,Y,CM,45,0,0,0,0,0,0,1,0,25,1,0,0,0.0,0.0,0.0,0,0,18,22,81.8,1,10,1,0,0,Match Report
9,2021-10-31,Sun,Matchweek 10,Home,L 1–2,Norwich City,Leeds United,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
10,2021-11-06,Sat,Matchweek 11,Away,W 2–1,Norwich City,Brentford,Y,AM,90,0,0,0,0,1,0,0,0,56,5,1,1,0.0,0.0,0.1,3,0,32,40,80.0,7,27,2,2,1,Match Report
11,2021-11-20,Sat,Matchweek 12,Home,W 2–1,Norwich City,Southampton,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
12,2021-11-27,Sat,Matchweek 13,Home,D 0–0,Norwich City,Wolves,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
13,2021-11-30,Tue,Matchweek 14,Away,D 1–1,Norwich City,Newcastle Utd,N,AM,45,0,0,0,0,2,2,0,0,26,1,1,0,0.3,0.3,0.0,1,0,19,22,86.4,4,16,2,0,0,Match Report
14,2021-12-05,Sun,Matchweek 15,Away,L 0–3,Norwich City,Tottenham,Y,CM,71,0,0,0,0,1,0,0,0,39,2,0,2,0.0,0.0,0.1,3,0,30,35,85.7,2,23,0,0,0,Match Report
15,2021-12-11,Sat,Matchweek 16,Home,L 0–1,Norwich City,Manchester Utd,N,RM,15,0,0,0,0,1,0,1,0,17,0,1,2,0.0,0.0,0.0,1,0,9,13,69.2,2,12,0,0,0,Match Report
17,2021-12-26,Sun,Matchweek 19,Home,L 0–5,Norwich City,Arsenal,N,AM,25,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,5,0,0,0,Match Report
18,2021-12-28,Tue,Matchweek 20,Away,L 0–3,Norwich City,Crystal Palace,Y,AM,90,0,0,0,0,4,0,0,0,43,2,0,1,0.3,0.3,0.1,3,0,27,34,79.4,3,25,0,0,0,Match Report
19,2022-01-12,Wed,Matchweek 18,Away,L 0–2,Norwich City,West Ham,Y,DM,90,0,0,0,0,0,0,0,0,51,3,3,1,0.0,0.0,0.0,1,0,31,41,75.6,3,35,0,0,0,Match Report
20,2022-01-15,Sat,Matchweek 22,Home,W 2–1,Norwich City,Everton,Y,"CM,DM",90,0,0,0,0,4,2,0,0,45,3,4,1,0.1,0.1,0.0,3,0,25,31,80.6,3,19,0,2,2,Match Report
21,2022-01-21,Fri,Matchweek 23,Away,W 3–0,Norwich City,Watford,Y,CM,90,0,0,0,0,0,0,0,0,36,1,1,1,0.0,0.0,0.0,0,0,21,32,65.6,2,19,0,0,0,Match Report
22,2022-02-09,Wed,Matchweek 24,Home,D 1–1,Norwich City,Crystal Palace,Y,CM,73,0,0,0,0,0,0,0,0,38,3,1,1,0.0,0.0,0.0,0,0,24,31,77.4,2,22,0,0,0,Match Report
23,2022-02-12,Sat,Matchweek 25,Home,L 0–4,Norwich City,Manchester City,Y,CM,62,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.1,2,0,7,13,53.8,2,10,0,1,1,Match Report
24,2022-02-19,Sat,Matchweek 26,Away,L 1–3,Norwich City,Liverpool,N,CM,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,1,1,Match Report
25,2022-02-25,Fri,Matchweek 27,Away,L 0–2,Norwich City,Southampton,N,LM,19,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.2,1,0,12,14,85.7,0,8,0,0,0,Match Report
26,2022-03-05,Sat,Matchweek 28,Home,L 1–3,Norwich City,Brentford,N,"CM,DM",10,0,0,0,0,1,1,0,0,24,0,0,0,0.0,0.0,0.0,3,1,19,23,82.6,2,24,0,0,0,Match Report
27,2022-03-10,Thu,Matchweek 30,Home,L 1–3,Norwich City,Chelsea,Y,CM,90,0,0,0,0,1,0,0,0,52,1,2,1,0.0,0.0,0.0,0,0,40,47,85.1,4,21,1,0,0,Match Report
28,2022-03-13,Sun,Matchweek 29,Away,L 1–2,Norwich City,Leeds United,Y,CM,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,39,46,84.8,4,20,0,3,2,Match Report
29,2022-04-02,Sat,Matchweek 31,Away,D 0–0,Norwich City,Brighton,Y,LM,59,0,0,0,0,0,0,0,0,25,1,0,3,0.0,0.0,0.0,0,0,15,20,75.0,2,13,1,0,0,Match Report
30,2022-04-10,Sun,Matchweek 32,Home,W 2–0,Norwich City,Burnley,Y,AM,68,1,0,0,0,2,1,1,0,31,0,0,0,0.1,0.1,0.1,3,0,18,24,75.0,4,22,5,2,0,Match Report
31,2022-04-16,Sat,Matchweek 33,Away,L 2–3,Norwich City,Manchester Utd,Y,AM,81,0,0,0,0,2,0,0,0,43,2,2,0,0.1,0.1,0.1,5,0,25,35,71.4,5,31,5,2,1,Match Report
32,2022-04-23,Sat,Matchweek 34,Home,L 0–3,Norwich City,Newcastle Utd,Y,"AM,DM",90,0,0,0,0,0,0,0,0,68,2,0,0,0.0,0.0,0.0,1,0,45,59,76.3,6,42,3,5,3,Match Report
33,2022-04-30,Sat,Matchweek 35,Away,L 0–2,Norwich City,Aston Villa,Y,AM,66,0,0,0,0,2,1,0,0,31,0,0,0,0.2,0.2,0.0,1,0,24,27,88.9,4,22,3,2,1,Match Report
34,2022-05-08,Sun,Matchweek 36,Home,L 0–4,Norwich City,West Ham,Y,AM,45,0,0,0,0,2,0,0,0,28,0,0,2,0.1,0.1,0.0,2,0,12,21,57.1,2,18,1,0,0,Match Report
35,2022-05-11,Wed,Matchweek 21,Away,L 0–3,Norwich City,Leicester City,Y,"DM,CM",90,0,0,0,0,0,0,0,0,49,2,2,3,0.0,0.0,0.0,0,0,38,41,92.7,3,30,1,0,0,Match Report
36,2022-05-15,Sun,Matchweek 37,Away,D 1–1,Norwich City,Wolves,Y,AM,90,0,0,0,0,1,0,0,0,47,2,2,1,0.0,0.0,0.1,3,0,30,37,81.1,4,32,4,2,2,Match Report
37,2022-05-22,Sun,Matchweek 38,Home,L 0–5,Norwich City,Tottenham,Y,CM,70,0,0,0,0,0,0,0,0,49,2,0,0,0.0,0.0,0.0,1,0,37,44,84.1,8,37,1,0,0,Match Report
