,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2023-02-05,Sun,Matchweek 22,Home,W 1–0,Nott'ham Forest,Leeds United,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,15,36,41.7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,574,1,100.0,3,3,100.0,11,32,34.4,0.0,0,1,0,0
1,2023-02-11,Sat,Matchweek 23,Away,L 0–2,Nott'ham Forest,Fulham,Y,GK,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,31,44,70.5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,549,5,100.0,18,18,100.0,8,20,40.0,0.0,0,0,0,0
2,2023-02-18,Sat,Matchweek 24,Home,D 1–1,Nott'ham Forest,Manchester City,Y,GK,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,29,48,60.4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,764,2,100.0,15,15,100.0,12,30,40.0,0.0,0,1,0,0
3,2023-02-25,Sat,Matchweek 25,Away,L 0–4,Nott'ham Forest,West Ham,Y,GK,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,25,33,75.8,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,897,731,1,100.0,8,8,100.0,16,24,66.7,0.0,0,0,0,0
4,2023-03-05,Sun,Matchweek 26,Home,D 2–2,Nott'ham Forest,Everton,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,26,34,76.5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,410,2,100.0,22,22,100.0,2,10,20.0,0.0,0,0,0,0
5,2023-03-11,Sat,Matchweek 27,Away,L 1–3,Nott'ham Forest,Tottenham,Y,GK,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,17,28,60.7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,335,4,100.0,7,7,100.0,6,17,35.3,0.0,0,0,0,0
6,2023-03-17,Fri,Matchweek 28,Home,L 1–2,Nott'ham Forest,Newcastle Utd,Y,GK,90,0,0,0,0,0,0,1,0,50,0,0,0,0.0,0.0,0.0,0,0,21,47,44.7,0,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,775,676,4,100.0,6,6,100.0,11,37,29.7,0.0,0,2,0,0
7,2023-04-01,Sat,Matchweek 29,Home,D 1–1,Nott'ham Forest,Wolves,Y,GK,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,13,23,56.5,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,436,352,2,100.0,4,4,100.0,7,15,46.7,0.0,0,0,0,0
8,2023-04-04,Tue,Matchweek 7,Away,L 1–2,Nott'ham Forest,Leeds United,Y,GK,90,0,0,0,0,0,0,0,0,26,0,1,0,0.0,0.0,0.0,0,0,20,25,80.0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,275,1,100.0,14,14,100.0,5,10,50.0,0.0,0,1,0,0
9,2023-04-16,Sun,Matchweek 31,Home,L 0–2,Nott'ham Forest,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,19,28,67.9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,449,1,100.0,9,9,100.0,9,18,50.0,0.0,0,0,0,0
10,2023-04-26,Wed,Matchweek 33,Home,W 3–1,Nott'ham Forest,Brighton,Y,GK,90,0,0,0,0,0,0,1,0,35,0,0,0,0.0,0.0,0.0,0,0,14,31,45.2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,557,1,100.0,3,3,100.0,10,27,37.0,0.0,0,0,0,0
11,2023-05-08,Mon,Matchweek 35,Home,W 4–3,Nott'ham Forest,Southampton,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,13,25,52.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,375,3,100.0,4,4,100.0,6,18,33.3,0.0,0,0,0,0
12,2023-05-20,Sat,Matchweek 37,Home,W 1–0,Nott'ham Forest,Arsenal,Y,GK,89,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,8,23,34.8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,278,2,100.0,1,1,100.0,5,20,25.0,0.0,0,1,0,0
