,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2023-02-05,Sun,Matchweek 22,Home,W 1–0,Nott'ham Forest,Leeds United,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,15,36,41.7,0,12,0,0,0,Match Report
1,2023-02-11,Sat,Matchweek 23,Away,L 0–2,Nott'ham Forest,Fulham,Y,GK,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,31,44,70.5,0,27,0,0,0,Match Report
2,2023-02-18,Sat,Matchweek 24,Home,D 1–1,Nott'ham Forest,Manchester City,Y,GK,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,29,48,60.4,0,25,0,0,0,Match Report
3,2023-02-25,Sat,Matchweek 25,Away,L 0–4,Nott'ham Forest,West Ham,Y,GK,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,25,33,75.8,0,21,0,0,0,Match Report
4,2023-03-05,Sun,Matchweek 26,Home,D 2–2,Nott'ham Forest,Everton,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,26,34,76.5,0,16,0,0,0,Match Report
5,2023-03-11,Sat,Matchweek 27,Away,L 1–3,Nott'ham Forest,Tottenham,Y,GK,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,17,28,60.7,0,15,0,0,0,Match Report
6,2023-03-17,Fri,Matchweek 28,Home,L 1–2,Nott'ham Forest,Newcastle Utd,Y,GK,90,0,0,0,0,0,0,1,0,50,0,0,0,0.0,0.0,0.0,0,0,21,47,44.7,0,25,0,1,1,Match Report
7,2023-04-01,Sat,Matchweek 29,Home,D 1–1,Nott'ham Forest,Wolves,Y,GK,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,13,23,56.5,0,14,0,0,0,Match Report
8,2023-04-04,Tue,Matchweek 7,Away,L 1–2,Nott'ham Forest,Leeds United,Y,GK,90,0,0,0,0,0,0,0,0,26,0,1,0,0.0,0.0,0.0,0,0,20,25,80.0,1,13,0,0,0,Match Report
9,2023-04-08,Sat,Matchweek 30,Away,L 0–2,Nott'ham Forest,Aston Villa,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,22,30,73.3,0,10,0,0,0,Match Report
10,2023-04-16,Sun,Matchweek 31,Home,L 0–2,Nott'ham Forest,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,19,28,67.9,0,11,0,0,0,Match Report
11,2023-04-22,Sat,Matchweek 32,Away,L 2–3,Nott'ham Forest,Liverpool,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,13,25,52.0,0,9,0,0,0,Match Report
12,2023-04-26,Wed,Matchweek 33,Home,W 3–1,Nott'ham Forest,Brighton,Y,GK,90,0,0,0,0,0,0,1,0,35,0,0,0,0.0,0.0,0.0,0,0,14,31,45.2,0,14,0,0,0,Match Report
13,2023-04-29,Sat,Matchweek 34,Away,L 1–2,Nott'ham Forest,Brentford,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,12,25,48.0,0,16,0,0,0,Match Report
14,2023-05-08,Mon,Matchweek 35,Home,W 4–3,Nott'ham Forest,Southampton,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,13,25,52.0,0,8,0,0,0,Match Report
15,2023-05-13,Sat,Matchweek 36,Away,D 2–2,Nott'ham Forest,Chelsea,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,8,29,27.6,0,18,0,0,0,Match Report
16,2023-05-20,Sat,Matchweek 37,Home,W 1–0,Nott'ham Forest,Arsenal,Y,GK,89,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,8,23,34.8,0,13,0,0,0,Match Report
