,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-08-06,Sat,Matchweek 1,Home,W 2–1,Leeds United,Wolves,Y*,FW,83.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,11.0,15.0,73.3,1.0,13.0,1.0,2.0,1.0,Match Report
1,2022-08-13,Sat,Matchweek 2,Away,D 2–2,Leeds United,Southampton,Y*,FW,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,Match Report
3,2022-08-30,Tue,Matchweek 5,Home,D 1–1,Leeds United,Everton,N,FW,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,7.0,8.0,87.5,0.0,4.0,0.0,1.0,1.0,Match Report
4,2022-09-03,Sat,Matchweek 6,Away,L 2–5,Leeds United,Brentford,N,LW,45.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,10.0,10.0,100.0,1.0,5.0,0.0,0.0,0.0,Match Report
5,2022-10-02,Sun,Matchweek 9,Home,D 0–0,Leeds United,Aston Villa,N,FW,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,1.0,0.0,Match Report
6,2022-10-09,Sun,Matchweek 10,Away,L 1–2,Leeds United,Crystal Palace,Y,FW,61.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,22.0,2.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,9.0,16.0,56.3,0.0,14.0,0.0,0.0,0.0,Match Report
7,2022-10-16,Sun,Matchweek 11,Home,L 0–1,Leeds United,Arsenal,N,FW,45.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.0,3.0,4.0,75.0,2.0,8.0,1.0,4.0,0.0,Match Report
8,2022-10-20,Thu,Matchweek 12,Away,L 0–2,Leeds United,Leicester City,Y*,FW,64.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,1.0,0.0,1.0,0.6,0.6,0.1,1.0,0.0,8.0,10.0,80.0,1.0,5.0,1.0,0.0,0.0,Match Report
9,2022-10-23,Sun,Matchweek 13,Home,L 2–3,Leeds United,Fulham,N,FW,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,1.0,4.0,6.0,66.7,0.0,4.0,1.0,0.0,0.0,Match Report
10,2022-10-29,Sat,Matchweek 14,Away,W 2–1,Leeds United,Liverpool,N,FW,39.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,5.0,8.0,62.5,0.0,7.0,0.0,0.0,0.0,Match Report
