,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-08-06,Sat,Matchweek 1,Home,W 2–0,Newcastle Utd,Nott'ham Forest,N,FW,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Match Report
1,2022-08-13,Sat,Matchweek 2,Away,D 0–0,Newcastle Utd,Brighton,N,FW,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,Match Report
2,2022-08-21,Sun,Matchweek 3,Home,D 3–3,Newcastle Utd,Manchester City,N,FW,21,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,4,1,0,0,Match Report
3,2022-08-28,Sun,Matchweek 4,Away,D 1–1,Newcastle Utd,Wolves,Y,FW,64,0,0,0,0,2,1,0,0,12,0,0,1,0.2,0.2,0.1,2,0,7,8,87.5,0,8,0,0,0,Match Report
4,2022-08-31,Wed,Matchweek 5,Away,L 1–2,Newcastle Utd,Liverpool,N,FW,27,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,4,9,44.4,0,4,0,1,1,Match Report
5,2022-09-03,Sat,Matchweek 6,Home,D 0–0,Newcastle Utd,Crystal Palace,N,FW,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,1,0,0,0,Match Report
7,2022-10-01,Sat,Matchweek 9,Away,W 4–1,Newcastle Utd,Fulham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
8,2022-10-08,Sat,Matchweek 10,Home,W 5–1,Newcastle Utd,Brentford,N,FW,7,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,Match Report
9,2022-10-16,Sun,Matchweek 11,Away,D 0–0,Newcastle Utd,Manchester Utd,N,FW,13,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,3,0,0,0,Match Report
10,2022-10-19,Wed,Matchweek 12,Home,W 1–0,Newcastle Utd,Everton,N,FW,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0,Match Report
11,2022-10-23,Sun,Matchweek 13,Away,W 2–1,Newcastle Utd,Tottenham,N,FW,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,1,0,Match Report
