,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-08-06,Sat,Matchweek 1,Away,D 2–2,Liverpool,Fulham,N,FW,40.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.6,0.6,0.5,1.0,0.0,5.0,6.0,83.3,1.0,6.0,0.0,1.0,0.0,Match Report
1,2022-08-15,Mon,Matchweek 2,Home,D 1–1,Liverpool,Crystal Palace,Y,FW,56.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.7,0.7,0.0,1.0,0.0,6.0,11.0,54.5,1.0,10.0,0.0,1.0,1.0,Match Report
3,2022-09-03,Sat,Matchweek 6,Away,D 0–0,Liverpool,Everton,Y,FW,79.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,23.0,1.0,0.0,0.0,0.5,0.5,0.1,4.0,0.0,6.0,12.0,50.0,0.0,13.0,2.0,0.0,0.0,Match Report
4,2022-10-01,Sat,Matchweek 9,Home,D 3–3,Liverpool,Brighton,N,FW,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Match Report
5,2022-10-09,Sun,Matchweek 10,Away,L 2–3,Liverpool,Arsenal,Y,FW,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,7.0,11.0,63.6,1.0,6.0,1.0,0.0,0.0,Match Report
6,2022-10-16,Sun,Matchweek 11,Home,W 1–0,Liverpool,Manchester City,N,FW,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.3,0.3,0.5,3.0,0.0,1.0,1.0,100.0,0.0,4.0,3.0,2.0,1.0,Match Report
7,2022-10-19,Wed,Matchweek 12,Home,W 1–0,Liverpool,West Ham,Y,FW,56.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,29.0,0.0,0.0,1.0,0.5,0.5,0.0,2.0,0.0,12.0,14.0,85.7,0.0,14.0,1.0,0.0,0.0,Match Report
9,2022-10-29,Sat,Matchweek 14,Home,L 1–2,Liverpool,Leeds United,Y,FW,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,38.0,0.0,0.0,1.0,0.3,0.3,0.4,6.0,0.0,21.0,28.0,75.0,3.0,23.0,4.0,2.0,0.0,Match Report
10,2022-11-06,Sun,Matchweek 15,Away,W 2–1,Liverpool,Tottenham,Y,FW,86.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,48.0,1.0,2.0,1.0,0.4,0.4,0.3,4.0,1.0,26.0,34.0,76.5,0.0,27.0,8.0,4.0,2.0,Match Report
11,2022-11-12,Sat,Matchweek 16,Home,W 3–1,Liverpool,Southampton,Y,LW,86.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,41.0,1.0,0.0,1.0,0.7,0.7,0.5,3.0,0.0,19.0,27.0,70.4,4.0,23.0,2.0,2.0,1.0,Match Report
12,2022-12-26,Mon,Matchweek 17,Away,W 3–1,Liverpool,Aston Villa,Y,FW,87.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,24.0,0.0,0.0,0.0,1.2,1.2,0.0,1.0,0.0,4.0,13.0,30.8,1.0,14.0,5.0,0.0,0.0,Match Report
13,2022-12-30,Fri,Matchweek 18,Home,W 2–1,Liverpool,Leicester City,Y,FW,90.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,32.0,1.0,0.0,1.0,0.7,0.7,0.7,5.0,0.0,9.0,16.0,56.3,2.0,22.0,5.0,0.0,0.0,Match Report
14,2023-01-02,Mon,Matchweek 19,Away,L 1–3,Liverpool,Brentford,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.9,0.9,0.0,2.0,0.0,7.0,12.0,58.3,1.0,21.0,2.0,3.0,1.0,Match Report
16,2023-01-21,Sat,Matchweek 21,Home,D 0–0,Liverpool,Chelsea,N,"LW,FW",28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,2.0,0.0,1.0,0.0,0.0,0.3,1.0,0.0,5.0,8.0,62.5,1.0,7.0,2.0,1.0,0.0,Match Report
17,2023-02-04,Sat,Matchweek 22,Away,L 0–3,Liverpool,Wolves,Y,FW,90.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,28.0,0.0,0.0,3.0,0.6,0.6,0.2,2.0,0.0,7.0,15.0,46.7,2.0,17.0,3.0,1.0,0.0,Match Report
18,2023-02-13,Mon,Matchweek 23,Home,W 2–0,Liverpool,Everton,Y,LW,69.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.4,0.4,0.8,6.0,1.0,14.0,19.0,73.7,1.0,21.0,2.0,5.0,3.0,Match Report
19,2023-02-18,Sat,Matchweek 24,Away,W 2–0,Liverpool,Newcastle Utd,Y,LW,58.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,9.0,12.0,75.0,1.0,16.0,3.0,2.0,0.0,Match Report
21,2023-03-01,Wed,Matchweek 7,Home,W 2–0,Liverpool,Wolves,Y,LW,88.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,33.0,1.0,1.0,0.0,0.3,0.3,0.4,4.0,0.0,16.0,26.0,61.5,2.0,24.0,2.0,3.0,3.0,Match Report
22,2023-03-05,Sun,Matchweek 26,Home,W 7–0,Liverpool,Manchester Utd,Y,LW,78.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,0.9,0.9,0.0,1.0,0.0,8.0,21.0,38.1,1.0,21.0,2.0,3.0,1.0,Match Report
23,2023-03-11,Sat,Matchweek 27,Away,L 0–1,Liverpool,Bournemouth,Y,LW,65.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,14.0,71.4,3.0,13.0,2.0,1.0,1.0,Match Report
24,2023-04-01,Sat,Matchweek 29,Away,L 1–4,Liverpool,Manchester City,N,"FW,LW",21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,Match Report
25,2023-04-04,Tue,Matchweek 8,Away,D 0–0,Liverpool,Chelsea,Y,LW,78.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,28.0,71.4,1.0,25.0,3.0,5.0,2.0,Match Report
26,2023-04-09,Sun,Matchweek 30,Home,D 2–2,Liverpool,Arsenal,N,"FW,LW",31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,0.0,6.0,9.0,66.7,1.0,9.0,2.0,2.0,1.0,Match Report
