,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2017-08-12,Sat,Matchweek 1,Home,L 0–3,Crystal Palace,Huddersfield,Y,AM,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,39.0,1.0,0.0,1.0,0.4,0.4,0.0,4.0,0.0,12.0,21.0,57.1,1.0,31.0,5.0,6.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,25.0,5.0,71.4,4.0,7.0,57.1,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
1,2017-10-14,Sat,Matchweek 8,Home,W 2–1,Crystal Palace,Chelsea,Y,FW,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,41.0,2.0,0.0,0.0,0.8,0.8,0.1,5.0,1.0,9.0,21.0,42.9,2.0,25.0,5.0,11.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.0,42.0,5.0,45.5,4.0,7.0,57.1,0.0,1.0,0.0,0.1,2.0,0.0,1.0,0.0
2,2017-10-21,Sat,Matchweek 9,Away,L 0–1,Crystal Palace,Newcastle Utd,Y,FW,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,6.0,14.0,42.9,4.0,23.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,61.0,4.0,80.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,4.0,0.0,0.0
3,2017-10-28,Sat,Matchweek 10,Home,D 2–2,Crystal Palace,West Ham,Y,"FW,LM",90.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,39.0,2.0,0.0,1.0,0.3,0.3,0.0,3.0,1.0,13.0,18.0,72.2,5.0,29.0,5.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,237.0,98.0,6.0,100.0,7.0,10.0,70.0,0.0,1.0,0.0,0.1,0.0,2.0,3.0,0.0
4,2017-11-05,Sun,Matchweek 11,Away,L 0–1,Crystal Palace,Tottenham,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.3,0.3,0.1,6.0,0.0,9.0,14.0,64.3,2.0,18.0,5.0,7.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,28.0,6.0,85.7,1.0,2.0,50.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
5,2017-11-18,Sat,Matchweek 12,Home,D 2–2,Crystal Palace,Everton,Y,"FW,LW",90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.6,0.6,0.3,4.0,0.0,11.0,19.0,57.9,3.0,36.0,4.0,10.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,43.0,5.0,55.6,2.0,4.0,50.0,3.0,3.0,100.0,0.1,1.0,0.0,2.0,1.0
6,2017-11-25,Sat,Matchweek 13,Home,W 2–1,Crystal Palace,Stoke City,Y,FW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.2,7.0,0.0,16.0,23.0,69.6,6.0,23.0,7.0,4.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,92.0,6.0,75.0,8.0,10.0,80.0,1.0,3.0,33.3,0.3,2.0,2.0,3.0,0.0
7,2017-11-28,Tue,Matchweek 14,Away,D 0–0,Crystal Palace,Brighton,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.3,0.3,0.1,3.0,0.0,8.0,12.0,66.7,1.0,24.0,5.0,6.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,43.0,6.0,75.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8,2017-12-02,Sat,Matchweek 15,Away,D 0–0,Crystal Palace,West Brom,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,31.0,2.0,1.0,1.0,0.1,0.1,0.0,4.0,0.0,16.0,21.0,76.2,1.0,26.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,37.0,10.0,83.3,4.0,6.0,66.7,1.0,1.0,100.0,0.1,0.0,0.0,0.0,0.0
9,2017-12-09,Sat,Matchweek 16,Home,D 2–2,Crystal Palace,Bournemouth,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,35.0,0.0,0.0,1.0,0.1,0.1,0.3,13.0,1.0,15.0,27.0,55.6,3.0,31.0,9.0,4.0,3.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,284.0,124.0,9.0,69.2,3.0,7.0,42.9,3.0,5.0,60.0,0.8,4.0,0.0,3.0,2.0
10,2017-12-12,Tue,Matchweek 17,Home,W 2–1,Crystal Palace,Watford,Y,FW,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,1.0,19.0,29.0,65.5,2.0,33.0,8.0,7.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,232.0,44.0,12.0,70.6,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,2.0,0.0
11,2017-12-16,Sat,Matchweek 18,Away,W 3–0,Crystal Palace,Leicester City,Y,FW,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,43.0,1.0,0.0,1.0,0.4,0.4,0.2,6.0,1.0,19.0,26.0,73.1,3.0,40.0,9.0,10.0,5.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,283.0,120.0,9.0,90.0,8.0,10.0,80.0,1.0,2.0,50.0,0.3,3.0,3.0,1.0,1.0
12,2017-12-23,Sat,Matchweek 19,Away,D 1–1,Crystal Palace,Swansea City,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,41.0,0.0,0.0,1.0,0.2,0.2,0.1,8.0,1.0,17.0,22.0,77.3,6.0,37.0,10.0,14.0,8.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,203.0,78.0,14.0,93.3,3.0,4.0,75.0,0.0,1.0,0.0,0.1,3.0,3.0,2.0,0.0
13,2017-12-28,Thu,Matchweek 20,Home,L 2–3,Crystal Palace,Arsenal,Y,FW,90.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,44.0,0.0,0.0,0.0,0.6,0.6,0.3,5.0,1.0,15.0,26.0,57.7,3.0,35.0,7.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,201.0,82.0,8.0,57.1,4.0,8.0,50.0,1.0,2.0,50.0,0.1,5.0,0.0,3.0,0.0
14,2017-12-31,Sun,Matchweek 21,Home,D 0–0,Crystal Palace,Manchester City,Y,LW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,0.1,5.0,0.0,11.0,21.0,52.4,0.0,26.0,6.0,8.0,7.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,23.0,8.0,72.7,3.0,6.0,50.0,0.0,1.0,0.0,0.3,2.0,0.0,0.0,0.0
15,2018-01-13,Sat,Matchweek 23,Home,W 1–0,Crystal Palace,Burnley,Y,RM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,1.0,0.0,3.0,0.1,0.1,0.3,6.0,0.0,20.0,32.0,62.5,2.0,32.0,3.0,4.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,69.0,15.0,75.0,4.0,7.0,57.1,0.0,1.0,0.0,0.1,3.0,1.0,2.0,1.0
16,2018-01-20,Sat,Matchweek 24,Away,L 1–4,Crystal Palace,Arsenal,Y,RM,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,73.3,3.0,42.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,54.0,14.0,87.5,8.0,10.0,80.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
17,2018-01-30,Tue,Matchweek 25,Away,D 1–1,Crystal Palace,West Ham,Y,"RW,FW",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,20.0,30.0,66.7,2.0,41.0,6.0,9.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,87.0,12.0,85.7,7.0,11.0,63.6,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
18,2018-02-04,Sun,Matchweek 26,Home,D 1–1,Crystal Palace,Newcastle Utd,Y,FW,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,51.0,2.0,1.0,0.0,0.2,0.2,0.1,6.0,1.0,26.0,39.0,66.7,4.0,47.0,8.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,446.0,151.0,12.0,75.0,11.0,14.0,78.6,3.0,6.0,50.0,0.3,3.0,3.0,2.0,1.0
