,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,PassLive,PassDead,TO,Fld,Def,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,TotDist,PrgDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,KP,1/3,PPA,CrsPA
0,2017-08-12,Sat,Matchweek 1,Home,L 0–2,Brighton,Manchester City,Y,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,68.4,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,95.0,5.0,62.5,6.0,8.0,75.0,1.0,2.0,50.0,0.0,0.0,2.0,1.0,0.0
1,2017-08-19,Sat,Matchweek 2,Away,L 0–2,Brighton,Leicester City,Y,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,62.0,73.0,84.9,8.0,36.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1377.0,344.0,12.0,80.0,33.0,36.0,91.7,15.0,20.0,75.0,0.0,0.0,8.0,1.0,0.0
2,2017-08-26,Sat,Matchweek 3,Away,D 0–0,Brighton,Watford,Y,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,3.0,0.0,3.0,0.1,0.1,0.0,2.0,0.0,51.0,61.0,83.6,12.0,39.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.0,342.0,16.0,84.2,22.0,23.0,95.7,12.0,16.0,75.0,0.1,1.0,11.0,1.0,0.0
3,2017-09-09,Sat,Matchweek 4,Home,W 3–1,Brighton,West Brom,Y,CM,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,60.0,2.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,47.0,52.0,90.4,8.0,39.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,228.0,16.0,100.0,24.0,27.0,88.9,7.0,9.0,77.8,0.0,0.0,6.0,0.0,0.0
4,2017-09-15,Fri,Matchweek 5,Away,L 1–2,Brighton,Bournemouth,Y,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,7.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,43.0,46.0,93.5,6.0,27.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,269.0,10.0,100.0,21.0,23.0,91.3,10.0,11.0,90.9,0.0,0.0,9.0,0.0,0.0
5,2017-09-24,Sun,Matchweek 6,Home,W 1–0,Brighton,Newcastle Utd,Y,CM,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,4.0,0.0,1.0,0.3,0.3,0.4,1.0,1.0,33.0,40.0,82.5,4.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,580.0,176.0,16.0,84.2,11.0,14.0,78.6,4.0,5.0,80.0,0.2,1.0,3.0,1.0,0.0
6,2017-10-01,Sun,Matchweek 7,Away,L 0–2,Brighton,Arsenal,Y,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,5.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,46.0,51.0,90.2,7.0,38.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,309.0,17.0,85.0,23.0,24.0,95.8,4.0,5.0,80.0,0.1,1.0,5.0,1.0,0.0
7,2017-10-15,Sun,Matchweek 8,Home,D 1–1,Brighton,Everton,Y,CM,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,37.0,73.0,2.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,174.0,9.0,81.8,14.0,19.0,73.7,4.0,6.0,66.7,0.0,0.0,1.0,0.0,0.0
8,2017-10-20,Fri,Matchweek 9,Away,W 3–0,Brighton,West Ham,Y,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,3.0,3.0,0.0,0.0,0.3,1.0,0.0,37.0,44.0,84.1,2.0,29.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,148.0,11.0,84.6,22.0,25.0,88.0,3.0,5.0,60.0,0.2,1.0,2.0,1.0,0.0
9,2017-10-29,Sun,Matchweek 10,Home,D 1–1,Brighton,Southampton,Y,CM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,68.0,74.0,91.9,10.0,61.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337.0,407.0,19.0,90.5,42.0,45.0,93.3,7.0,8.0,87.5,0.0,0.0,9.0,0.0,0.0
