,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2019-08-11,Sun,Matchweek 1,Home,W 4–0,Manchester Utd,Chelsea,Y,CB,90,49,57,86.0,925,253,17,19,89.5,25,27,92.6,6,9,66.7,0,0.1,0.0,1,0,0,0,0,Match Report
1,2019-08-19,Mon,Matchweek 2,Away,D 1–1,Manchester Utd,Wolves,Y,CB,90,80,89,89.9,1641,489,27,31,87.1,39,42,92.9,14,15,93.3,0,0.1,0.1,1,3,0,0,3,Match Report
2,2019-08-24,Sat,Matchweek 3,Home,L 1–2,Manchester Utd,Crystal Palace,Y,CB,90,71,85,83.5,1465,427,21,27,77.8,37,42,88.1,12,14,85.7,0,0.0,0.2,0,10,0,0,10,Match Report
3,2019-08-31,Sat,Matchweek 4,Away,D 1–1,Manchester Utd,Southampton,Y,CB,90,59,65,90.8,1182,386,17,19,89.5,36,39,92.3,6,6,100.0,0,0.0,0.0,1,5,0,0,8,Match Report
4,2019-09-14,Sat,Matchweek 5,Home,W 1–0,Manchester Utd,Leicester City,Y,CB,90,25,30,83.3,417,158,9,9,100.0,15,17,88.2,0,3,0.0,0,0.0,0.0,0,1,0,0,3,Match Report
5,2019-09-22,Sun,Matchweek 6,Away,L 0–2,Manchester Utd,West Ham,Y,CB,90,56,64,87.5,1201,326,9,12,75.0,36,38,94.7,10,10,100.0,0,0.0,0.1,0,0,0,0,0,Match Report
6,2019-09-30,Mon,Matchweek 7,Home,D 1–1,Manchester Utd,Arsenal,Y,CB,90,58,69,84.1,1180,434,18,20,90.0,28,32,87.5,11,15,73.3,0,0.0,0.1,0,1,0,0,3,Match Report
7,2019-10-06,Sun,Matchweek 8,Away,L 0–1,Manchester Utd,Newcastle Utd,Y,CB,90,90,98,91.8,1906,565,19,21,90.5,60,62,96.8,10,14,71.4,0,0.1,0.0,2,9,0,0,7,Match Report
8,2019-10-20,Sun,Matchweek 9,Home,D 1–1,Manchester Utd,Liverpool,Y,CB,90,22,28,78.6,521,186,5,5,100.0,13,14,92.9,4,8,50.0,0,0.0,0.0,0,2,0,0,1,Match Report
9,2019-10-27,Sun,Matchweek 10,Away,W 3–1,Manchester Utd,Norwich City,Y,CB,90,48,54,88.9,1065,355,12,14,85.7,26,28,92.9,10,12,83.3,0,0.1,0.0,2,4,0,0,2,Match Report
